,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
3769,By Year,2021-22,1610612742,DAL,2021-12-31T00:00:00,3,2,1,0.667,5.1,0.3,1.7,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.7,0.3,0.0,0.7,0.0,0.7,-10.0,4.6,0,0,3.3,4,2,4,2,3,4,4,4,4,2,4,4,4,4,4,3,4,2,4,1,1,3,3,4,4,4,3,1,1,4,264,2021-22,1629718
3770,By Year,2020-21,1610612760,OKC,2021-05-16T00:00:00,9,1,8,0.111,16.9,1.4,4.8,0.302,0.6,2.3,0.238,1.0,1.1,0.9,0.3,1.6,1.9,1.0,0.7,0.4,0.2,0.2,2.1,0.9,4.4,-4.8,9.5,0,0,9.2,3,3,2,3,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,3,1,1,1,1,264,2020-21,1629718
3771,By Year,2019-20,1610612737,ATL,2020-02-07T00:00:00,10,1,9,0.1,4.0,0.6,1.9,0.316,0.3,0.9,0.333,0.5,0.5,1.0,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.0,0.3,0.5,2.0,2.8,3.7,0,0,3.7,2,3,1,4,4,2,2,1,2,3,1,2,3,1,3,4,3,4,2,4,3,3,4,2,2,1,4,1,1,3,264,2019-20,1629718
3772,By Year,2021-22,1610612755,PHI,2022-02-15T00:00:00,23,11,12,0.478,7.3,1.3,2.0,0.638,0.0,0.2,0.0,0.4,0.5,0.75,1.0,1.7,2.7,0.3,0.3,0.2,0.7,0.1,1.4,0.6,3.0,-1.5,9.2,1,0,7.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2021-22,1629646
3773,By Year,2021-22,1610612756,PHX,2021-12-29T00:00:00,6,4,2,0.667,3.7,0.2,0.3,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.8,0.8,0.3,0.7,0.0,0.0,0.0,0.2,0.2,0.7,2.5,1.5,0,0,1.8,5,4,5,1,5,5,5,1,5,5,5,4,4,1,5,5,5,5,4,5,4,5,5,5,5,1,5,2,1,5,264,2021-22,1628990
3774,By Year,2020-21,-1,TOT,2021-05-16T00:00:00,25,11,14,0.44,13.8,1.6,4.1,0.379,0.3,0.9,0.364,0.8,1.0,0.84,0.2,2.9,3.1,0.7,0.8,0.5,0.2,0.3,1.3,1.1,4.3,-2.3,10.3,0,0,9.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1628990
3775,By Year,2020-21,1610612764,WAS,2021-05-16T00:00:00,18,9,9,0.5,15.7,1.9,4.7,0.4,0.4,1.1,0.368,1.1,1.3,0.826,0.3,2.9,3.2,0.7,0.8,0.6,0.3,0.3,1.3,1.4,5.2,-3.8,12.0,0,0,11.3,3,2,3,2,3,3,3,4,2,3,1,2,2,3,3,3,3,3,2,2,1,2,3,2,2,4,3,2,1,3,264,2020-21,1628990
3776,By Year,2020-21,1610612741,CHI,2021-02-05T00:00:00,7,2,5,0.286,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.3,0.3,1.0,0.1,2.7,2.9,0.6,0.7,0.1,0.0,0.1,1.3,0.3,1.9,1.6,5.9,0,0,5.7,4,5,4,3,4,4,4,5,4,4,2,5,5,1,4,4,4,4,3,4,4,4,4,4,4,2,4,2,1,4,264,2020-21,1628990
3777,By Year,2019-20,1610612741,CHI,2020-02-11T00:00:00,28,8,20,0.286,18.8,2.9,6.3,0.457,0.4,1.4,0.316,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1.0,1.0,0.3,0.6,1.7,2.3,7.8,-5.1,16.5,0,0,15.4,2,3,2,3,2,1,1,3,1,1,3,1,1,5,2,2,2,1,1,1,2,1,1,1,1,5,1,2,1,1,264,2019-20,1628990
3778,By Year,2018-19,1610612741,CHI,2019-01-25T00:00:00,44,10,34,0.227,20.3,2.2,4.8,0.459,0.3,1.1,0.28,0.5,0.9,0.605,0.7,3.5,4.2,0.8,0.6,0.5,0.1,0.3,1.3,1.0,5.2,-2.6,12.8,1,0,11.8,1,1,1,5,1,2,2,2,3,2,4,3,3,4,1,1,1,2,5,3,3,3,2,3,3,3,2,1,1,2,264,2018-19,1628990
