,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,SEASON
32,1610612751,Brooklyn Nets,72,48,24,0.667,3481.0,0.575,0.258,0.134,0.252,0.531,0.241,0.125,0.274,1,4,4,4,11,1,8,12,22,9,13,27,23,10,Brooklyn Nets,2020-21
33,1610612766,Charlotte Hornets,72,33,39,0.458,3471.0,0.532,0.238,0.149,0.276,0.55,0.219,0.148,0.278,1,19,19,19,19,19,21,25,9,26,5,6,26,10,Charlotte Hornets,2020-21
34,1610612741,Chicago Bulls,72,31,41,0.431,3476.0,0.547,0.197,0.151,0.267,0.538,0.253,0.127,0.233,1,21,21,21,16,10,30,27,16,14,17,26,1,10,Chicago Bulls,2020-21
35,1610612739,Cleveland Cavaliers,72,22,50,0.306,3486.0,0.508,0.261,0.157,0.28,0.556,0.235,0.145,0.271,1,26,26,26,6,29,7,29,7,29,8,9,21,10,Cleveland Cavaliers,2020-21
36,1610612742,Dallas Mavericks,72,42,30,0.583,3461.0,0.55,0.242,0.123,0.253,0.534,0.259,0.129,0.266,1,8,8,8,24,8,15,3,21,11,24,22,17,10,Dallas Mavericks,2020-21
37,1610612743,Denver Nuggets,72,47,25,0.653,3496.0,0.557,0.219,0.136,0.292,0.545,0.258,0.143,0.249,1,5,5,5,1,6,28,15,2,21,23,12,6,10,Denver Nuggets,2020-21
38,1610612765,Detroit Pistons,72,20,52,0.278,3486.0,0.519,0.273,0.151,0.267,0.541,0.257,0.141,0.275,1,29,29,29,6,26,5,26,15,18,19,14,24,10,Detroit Pistons,2020-21
39,1610612744,Golden State Warriors,72,39,33,0.542,3461.0,0.551,0.239,0.146,0.222,0.522,0.286,0.146,0.273,1,14,14,14,24,7,20,24,30,4,29,7,22,10,Golden State Warriors,2020-21
40,1610612745,Houston Rockets,72,17,55,0.236,3461.0,0.521,0.252,0.145,0.24,0.555,0.256,0.144,0.277,1,30,30,30,24,24,11,23,28,27,18,10,25,10,Houston Rockets,2020-21
41,1610612754,Indiana Pacers,72,34,38,0.472,3491.0,0.542,0.227,0.131,0.247,0.531,0.258,0.144,0.299,1,17,17,17,4,13,26,7,26,7,22,11,30,10,Indiana Pacers,2020-21
42,1610612746,LA Clippers,72,47,25,0.653,3456.0,0.564,0.222,0.135,0.27,0.531,0.239,0.132,0.246,1,5,5,5,30,4,27,14,12,8,12,18,5,10,LA Clippers,2020-21
43,1610612747,Los Angeles Lakers,72,42,30,0.583,3491.0,0.536,0.271,0.152,0.269,0.526,0.237,0.152,0.252,1,8,8,8,4,18,6,28,14,5,11,4,7,10,Los Angeles Lakers,2020-21
44,1610612763,Memphis Grizzlies,72,38,34,0.528,3481.0,0.528,0.232,0.131,0.285,0.535,0.249,0.146,0.264,1,15,15,15,11,22,25,6,4,12,14,8,15,10,Memphis Grizzlies,2020-21
45,1610612748,Miami Heat,72,40,32,0.556,3476.0,0.546,0.252,0.144,0.24,0.542,0.234,0.154,0.267,1,13,13,13,16,11,10,21,29,19,7,3,19,10,Miami Heat,2020-21
46,1610612749,Milwaukee Bucks,72,46,26,0.639,3466.0,0.566,0.233,0.134,0.269,0.536,0.202,0.127,0.245,1,7,7,7,22,2,24,13,13,13,1,25,4,10,Milwaukee Bucks,2020-21
47,1610612750,Minnesota Timberwolves,72,23,49,0.319,3481.0,0.52,0.254,0.139,0.271,0.556,0.264,0.149,0.283,1,25,25,25,11,25,9,17,11,28,26,5,27,10,Minnesota Timberwolves,2020-21
48,1610612740,New Orleans Pelicans,72,31,41,0.431,3486.0,0.537,0.293,0.144,0.302,0.55,0.236,0.132,0.245,1,21,21,21,6,17,2,22,1,25,9,19,3,10,New Orleans Pelicans,2020-21
49,1610612752,New York Knicks,72,41,31,0.569,3486.0,0.524,0.242,0.133,0.264,0.509,0.257,0.131,0.262,1,11,11,11,6,23,17,11,17,2,20,20,12,10,New York Knicks,2020-21
50,1610612760,Oklahoma City Thunder,72,22,50,0.306,3471.0,0.509,0.242,0.158,0.254,0.547,0.216,0.128,0.258,1,26,26,26,19,28,16,30,19,23,4,23,10,10,Oklahoma City Thunder,2020-21
51,1610612753,Orlando Magic,72,21,51,0.292,3466.0,0.49,0.24,0.129,0.252,0.547,0.215,0.128,0.256,1,28,28,28,22,30,19,5,23,24,3,24,8,10,Orlando Magic,2020-21
52,1610612755,Philadelphia 76ers,72,49,23,0.681,3486.0,0.541,0.293,0.143,0.277,0.521,0.262,0.154,0.263,1,3,3,3,6,14,1,20,8,3,25,2,14,10,Philadelphia 76ers,2020-21
53,1610612756,Phoenix Suns,72,51,21,0.708,3496.0,0.564,0.212,0.126,0.248,0.534,0.25,0.137,0.259,1,2,2,2,1,3,29,4,25,10,15,16,11,10,Phoenix Suns,2020-21
54,1610612757,Portland Trail Blazers,72,42,30,0.583,3461.0,0.54,0.238,0.112,0.273,0.546,0.258,0.125,0.269,1,8,8,8,24,15,22,1,10,22,21,27,20,10,Portland Trail Blazers,2020-21
55,1610612758,Sacramento Kings,72,31,41,0.431,3461.0,0.549,0.248,0.133,0.253,0.557,0.253,0.136,0.287,1,21,21,21,24,9,12,8,20,30,16,17,29,10,Sacramento Kings,2020-21
56,1610612759,San Antonio Spurs,72,33,39,0.458,3496.0,0.517,0.243,0.113,0.243,0.541,0.23,0.131,0.267,1,19,19,19,1,27,14,2,27,17,6,21,18,10,San Antonio Spurs,2020-21
57,1610612761,Toronto Raptors,72,27,45,0.375,3461.0,0.529,0.241,0.133,0.256,0.543,0.293,0.162,0.284,1,24,24,24,24,21,18,9,18,20,30,1,28,10,Toronto Raptors,2020-21
58,1610612762,Utah Jazz,72,52,20,0.722,3471.0,0.563,0.244,0.142,0.284,0.507,0.207,0.115,0.243,1,1,1,1,19,5,13,19,5,1,2,30,2,10,Utah Jazz,2020-21
59,1610612764,Washington Wizards,72,34,38,0.472,3481.0,0.531,0.288,0.137,0.25,0.539,0.277,0.139,0.264,1,17,17,17,11,20,3,16,24,15,28,15,16,10,Washington Wizards,2020-21
