,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,SEASON
647,202711,Bojan Bogdanovic,Bojan,1610612762,UTA,32.0,72,52,20,0.722,30.8,2.3,1.7,2.3,5.7,11.5,7.9,7.8,33.3,0.1,0.8,1.6,2.6,24.8,1,1,236,34,88,80,99,53,127,502,447,446,36,472,485,254,88,131,5,"202711,1610612762",2020-21
648,1629626,Bol Bol,Bol,1610612743,DEN,21.0,32,21,11,0.656,5.0,0.3,0.0,0.4,0.8,2.4,0.9,2.6,5.3,0.3,0.0,0.4,0.3,4.2,372,264,111,98,505,481,510,400,483,61,15,109,499,254,1,32,490,499,5,"1629626,1610612743",2020-21
649,202954,Brad Wanamaker,Brad,1610612766,CHA,31.0,61,29,32,0.475,17.3,0.7,0.4,1.1,2.8,5.9,5.0,4.1,16.7,0.2,0.6,1.5,1.5,13.3,124,158,437,292,323,388,418,189,285,218,237,198,325,368,414,236,207,336,5,"202954,1610612766",2020-21
650,203078,Bradley Beal,Bradley,1610612764,WAS,28.0,60,32,28,0.533,35.8,4.2,3.1,2.2,12.7,13.1,10.2,8.3,35.6,0.4,1.0,2.3,5.4,45.0,140,115,379,219,9,6,17,57,7,539,527,469,16,221,509,448,12,17,5,"203078,1610612764",2020-21
651,1629634,Brandon Clarke,Brandon,1610612763,MEM,24.0,59,32,27,0.542,24.0,1.7,1.8,1.5,7.7,7.9,6.4,6.7,23.2,0.9,0.5,1.4,1.7,24.5,151,115,361,209,194,144,89,122,66,335,345,374,201,72,396,205,167,135,5,"1629634,1610612763",2020-21
652,1629164,Brandon Goodwin,Brandon,1610612737,ATL,25.0,47,25,22,0.532,13.2,0.8,0.3,0.9,2.0,4.6,3.1,3.3,12.2,0.0,0.4,0.9,0.9,10.0,256,213,274,222,395,363,444,245,345,145,127,144,408,495,323,87,342,396,5,"1629164,1610612737",2020-21
653,1627742,Brandon Ingram,Brandon,1610612740,NOP,23.0,61,29,32,0.475,34.3,2.6,2.0,2.0,6.6,12.9,8.8,9.1,33.1,0.6,0.9,2.0,4.2,38.2,124,158,437,292,22,62,68,73,100,535,487,502,37,127,489,379,37,36,5,"1627742,1610612740",2020-21
654,1628968,Brian Bowen II,Brian,1610612754,IND,22.0,6,1,5,0.167,2.5,0.0,0.0,0.0,0.3,1.3,1.0,0.7,3.0,0.0,0.0,0.2,0.2,1.1,506,515,50,520,537,508,510,498,514,14,17,9,527,495,1,16,517,532,5,"1628968,1610612754",2020-21
655,1630271,Brodric Thomas,Brodric,1610612739,CLE,24.0,32,6,26,0.188,12.5,1.0,0.3,0.6,1.2,4.2,3.6,3.2,13.4,0.3,0.2,1.3,1.0,9.0,372,456,341,515,406,291,452,318,430,126,144,140,391,254,161,169,309,424,5,"1630271,1610612739",2020-21
656,201572,Brook Lopez,Brook,1610612749,MIL,33.0,70,46,24,0.657,27.2,1.1,2.0,0.6,5.9,9.1,7.2,5.9,24.0,1.5,0.3,2.1,1.8,24.5,21,14,309,95,145,284,72,312,119,385,397,330,191,11,198,405,165,136,5,"201572,1610612749",2020-21
657,1628971,Bruce Brown,Bruce,1610612751,BKN,24.0,65,45,20,0.692,22.3,1.5,1.6,1.7,6.6,7.7,7.3,5.4,21.3,0.4,0.6,2.2,1.3,20.8,81,19,236,64,222,192,112,96,99,327,405,304,234,185,421,423,251,193,5,"1628971,1610612751",2020-21
