,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
2954,By Year,2020-21,1610612749,MIL,2021-05-15T00:00:00,61,40,21,0.656,2012.7333333333333,11.2,19.7,0.569,1.2,4.0,0.303,7.1,10.4,0.685,1.7,10.3,12.0,6.4,3.7,1.3,1.3,1.0,3.0,8.4,30.7,7.3,58.8,41,7,55.5,9,6,7,4,7,3,3,2,2,2,4,4,4,7,6,4,4,3,3,4,6,5,9,4,3,3,4,5,1,4,264,2020-21,203507
2955,By Year,2019-20,1610612749,MIL,2020-08-11T00:00:00,63,51,12,0.81,1916.88,12.9,23.3,0.553,1.7,5.5,0.304,7.5,11.8,0.633,2.6,13.4,16.1,6.6,4.3,1.1,1.2,1.3,3.7,9.7,34.9,12.8,67.0,56,4,64.0,8,2,9,1,8,1,1,4,1,1,3,3,2,9,1,1,1,1,1,7,7,2,1,1,1,1,1,1,4,1,264,2019-20,203507
2956,By Year,2018-19,1610612749,MIL,2019-04-07T00:00:00,72,56,16,0.778,2358.221666666667,11.0,19.0,0.578,0.8,3.1,0.256,7.6,10.5,0.729,2.4,11.3,13.7,6.5,4.1,1.4,1.7,1.5,3.5,8.5,30.4,10.0,61.8,54,5,57.6,6,1,8,2,5,4,4,1,4,4,8,2,3,4,2,2,2,2,2,3,2,1,3,3,4,2,3,2,2,3,264,2018-19,203507
2957,By Year,2017-18,1610612749,MIL,2018-04-11T00:00:00,75,39,36,0.52,2756.2033333333334,9.7,18.3,0.529,0.6,1.8,0.307,6.4,8.4,0.76,2.0,7.8,9.8,4.7,2.9,1.4,1.4,1.1,3.0,6.7,26.3,1.9,50.7,42,1,47.0,5,7,5,6,3,5,5,5,7,7,2,5,5,2,4,5,5,6,6,2,5,3,8,5,5,5,5,4,7,5,264,2017-18,203507
2958,By Year,2016-17,1610612749,MIL,2017-04-10T00:00:00,80,42,38,0.525,2845.036666666667,8.3,15.9,0.521,0.6,2.3,0.272,6.0,7.7,0.77,1.8,7.1,8.9,5.5,3.0,1.7,1.9,0.9,3.1,6.0,23.2,0.6,49.8,32,3,45.3,2,4,4,5,1,6,6,6,6,5,6,6,6,1,5,6,6,5,5,1,1,7,7,6,6,6,6,6,6,6,264,2016-17,203507
2959,By Year,2015-16,1610612749,MIL,2016-04-13T00:00:00,80,32,48,0.4,2823.4133333333334,6.5,12.9,0.506,0.4,1.4,0.257,3.8,5.2,0.724,1.4,6.4,7.8,4.4,2.7,1.2,1.4,0.8,3.3,4.2,17.2,-2.2,38.4,21,5,35.1,2,8,2,8,2,7,7,7,8,8,7,7,7,5,8,7,7,7,7,5,4,8,5,7,7,8,7,7,2,7,264,2015-16,203507
2960,By Year,2014-15,1610612749,MIL,2015-04-15T00:00:00,81,41,40,0.506,2540.59,5.4,11.1,0.491,0.1,0.6,0.159,3.6,4.9,0.741,1.4,6.3,7.7,2.9,2.5,1.0,1.2,0.9,3.6,4.1,14.6,0.1,32.5,10,0,29.8,1,5,3,7,4,8,8,8,9,9,9,8,8,3,9,8,8,8,8,9,8,6,2,8,8,7,8,8,8,8,264,2014-15,203507
2961,By Year,2013-14,1610612749,MIL,2014-04-16T00:00:00,77,14,63,0.182,1896.8083333333334,3.3,7.9,0.414,0.8,2.2,0.347,2.6,3.8,0.683,1.5,5.0,6.4,2.8,2.3,1.1,1.2,0.6,3.3,3.2,10.0,-3.4,26.5,2,0,24.6,4,9,1,9,9,9,9,9,5,6,1,9,9,8,7,9,9,9,9,8,9,9,6,9,9,9,9,9,8,9,264,2013-14,203507
2962,By Year,2021-22,-1,TOT,2022-04-10T00:00:00,13,8,5,0.615,213.47833333333332,5.2,11.3,0.463,1.7,4.4,0.385,2.4,5.1,0.467,1.0,2.5,3.5,2.0,3.4,1.9,0.3,0.0,3.2,3.5,14.5,-22.6,25.0,0,0,26.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2021-22,1630686
2963,By Year,2021-22,1610612760,OKC,2022-04-10T00:00:00,4,1,3,0.25,165.68333333333334,5.6,12.2,0.464,1.7,4.8,0.364,2.2,4.6,0.476,0.4,2.4,2.8,2.6,3.5,2.2,0.2,0.0,2.4,3.3,15.2,-18.5,26.2,0,0,27.2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,264,2021-22,1630686
