,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
35,1610612739,Cleveland Cavaliers,72,22,50,0.306,3486.0,1174.0,932.0,817.0,3672.0,1286.0,871.0,930.0,3646.0,1,26,26,17,6,16,16,22,6,28,8,19,27,10,Cleveland Cavaliers,2020-21
36,1610612742,Dallas Mavericks,72,42,30,0.583,3461.0,1044.0,887.0,819.0,3180.0,1051.0,944.0,892.0,3256.0,1,8,8,1,24,27,23,21,25,3,15,17,7,10,Dallas Mavericks,2020-21
37,1610612743,Denver Nuggets,72,47,25,0.653,3496.0,1296.0,990.0,893.0,3576.0,1122.0,811.0,962.0,3252.0,1,5,5,1,1,7,6,13,8,7,1,23,6,10,Denver Nuggets,2020-21
38,1610612765,Detroit Pistons,72,20,52,0.278,3486.0,1187.0,917.0,768.0,3414.0,1247.0,965.0,834.0,3694.0,1,29,29,17,6,14,19,25,16,23,21,5,28,10,Detroit Pistons,2020-21
39,1610612744,Golden State Warriors,72,39,33,0.542,3461.0,1251.0,753.0,1039.0,3270.0,1261.0,1022.0,955.0,3402.0,1,14,14,1,24,13,29,5,21,25,27,22,13,10,Golden State Warriors,2020-21
40,1610612745,Houston Rockets,72,17,55,0.236,3461.0,1297.0,878.0,802.0,3364.0,1260.0,946.0,1061.0,3598.0,1,30,30,17,24,5,26,24,18,24,16,30,25,10,Houston Rockets,2020-21
41,1610612754,Indiana Pacers,72,34,38,0.472,3491.0,1297.0,922.0,1194.0,3886.0,1155.0,1105.0,984.0,3874.0,1,17,17,17,4,5,18,2,3,13,30,24,30,10,Indiana Pacers,2020-21
42,1610612746,LA Clippers,72,47,25,0.653,3456.0,1153.0,938.0,743.0,3038.0,1110.0,847.0,859.0,3400.0,1,5,5,1,30,19,14,26,28,6,6,12,12,10,LA Clippers,2020-21
43,1610612747,Los Angeles Lakers,72,42,30,0.583,3491.0,1253.0,956.0,956.0,3596.0,1196.0,812.0,880.0,3470.0,1,8,8,1,4,12,10,11,7,16,2,16,19,10,Los Angeles Lakers,2020-21
44,1610612763,Memphis Grizzlies,72,38,34,0.528,3481.0,1332.0,1078.0,1244.0,4018.0,1193.0,891.0,988.0,3418.0,1,15,15,1,11,3,1,1,1,15,12,26,16,10,Memphis Grizzlies,2020-21
45,1610612748,Miami Heat,72,40,32,0.556,3476.0,1277.0,730.0,854.0,3196.0,1205.0,885.0,749.0,2972.0,1,13,13,1,16,10,30,16,23,17,10,1,1,10,Miami Heat,2020-21
46,1610612749,Milwaukee Bucks,72,46,26,0.639,3466.0,1174.0,951.0,1044.0,3512.0,1148.0,939.0,768.0,3102.0,1,7,7,1,22,16,12,4,12,12,14,3,3,10,Milwaukee Bucks,2020-21
47,1610612750,Minnesota Timberwolves,72,23,49,0.319,3481.0,1336.0,985.0,869.0,3550.0,1212.0,1042.0,1008.0,3584.0,1,25,25,17,11,2,7,14,10,18,28,27,24,10,Minnesota Timberwolves,2020-21
48,1610612740,New Orleans Pelicans,72,31,41,0.431,3486.0,1098.0,1070.0,1013.0,3918.0,1316.0,856.0,934.0,3364.0,1,21,21,17,6,22,2,8,2,29,7,20,9,10,New Orleans Pelicans,2020-21
49,1610612752,New York Knicks,72,41,31,0.569,3486.0,1085.0,895.0,640.0,3166.0,1077.0,879.0,755.0,3152.0,1,11,11,1,6,23,22,30,26,5,9,2,4,10,New York Knicks,2020-21
50,1610612760,Oklahoma City Thunder,72,22,50,0.306,3471.0,1025.0,845.0,662.0,3436.0,1441.0,967.0,834.0,3566.0,1,26,26,17,19,28,28,29,15,30,22,5,23,10,Oklahoma City Thunder,2020-21
51,1610612753,Orlando Magic,72,21,51,0.292,3466.0,968.0,949.0,741.0,2994.0,1141.0,842.0,1021.0,3398.0,1,28,28,17,22,30,13,27,29,10,5,28,11,10,Orlando Magic,2020-21
52,1610612755,Philadelphia 76ers,72,49,23,0.681,3486.0,1303.0,1002.0,1093.0,3406.0,1236.0,834.0,1030.0,3314.0,1,3,3,1,6,4,5,3,17,22,4,29,8,10,Philadelphia 76ers,2020-21
53,1610612756,Phoenix Suns,72,51,21,0.708,3496.0,1157.0,929.0,940.0,3264.0,1064.0,894.0,862.0,3414.0,1,2,2,1,1,18,17,12,22,4,13,13,15,10,Phoenix Suns,2020-21
54,1610612757,Portland Trail Blazers,72,42,30,0.583,3461.0,1075.0,1054.0,836.0,2832.0,1017.0,994.0,984.0,3406.0,1,8,8,1,24,24,3,19,30,1,24,24,14,10,Portland Trail Blazers,2020-21
55,1610612758,Sacramento Kings,72,31,41,0.431,3461.0,1179.0,880.0,1015.0,3838.0,1227.0,1007.0,908.0,3844.0,1,21,21,17,24,15,25,7,4,21,26,18,29,10,Sacramento Kings,2020-21
56,1610612759,San Antonio Spurs,72,33,39,0.458,3496.0,1132.0,872.0,845.0,3442.0,1026.0,956.0,856.0,3608.0,1,19,19,17,1,21,27,18,13,2,20,11,26,10,San Antonio Spurs,2020-21
57,1610612761,Toronto Raptors,72,27,45,0.375,3461.0,1340.0,897.0,988.0,3142.0,1124.0,999.0,834.0,3088.0,1,24,24,17,24,1,21,9,27,8,25,5,2,10,Toronto Raptors,2020-21
58,1610612762,Utah Jazz,72,52,20,0.722,3471.0,1017.0,981.0,858.0,3182.0,1222.0,890.0,868.0,3532.0,1,1,1,1,19,29,8,15,24,20,11,14,22,10,Utah Jazz,2020-21
59,1610612764,Washington Wizards,72,34,38,0.472,3481.0,1293.0,933.0,809.0,3798.0,1264.0,986.0,770.0,3468.0,1,17,17,17,11,8,15,23,5,26,23,4,18,10,Washington Wizards,2020-21
